"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land"
"Vlijmen";"2023";"";"";""
"Vlissingen";"2023";"45150";"1314";"34,37"
"Vlist";"2023";"";"";""
"Voerendaal";"2023";"12405";"394";"31,51"
"Voorburg";"2023";"";"";""
"Voorhout";"2023";"";"";""
"Voorne aan Zee";"2023";"73945";"607";"121,77"
"Voorschoten";"2023";"25665";"2309";"11,11"
"Voorst";"2023";"25215";"205";"122,93"
"Vorden";"2023";"";"";""
"Vries";"2023";"";"";""
"Vriezenveen";"2023";"";"";""
"Vught";"2023";"32113";"535";"60,02"
"Waadhoeke";"2023";"46718";"164";"285,42"
"Waalre";"2023";"17980";"803";"22,38"
"Waalwijk";"2023";"49952";"774";"64,54"
"Waddinxveen";"2023";"32601";"1175";"27,75"
"Wageningen";"2023";"40960";"1347";"30,42"
"Warmond";"2023";"";"";""
"Warnsveld";"2023";"";"";""
"Waspik";"2023";"";"";""
"Wassenaar";"2023";"27093";"529";"51,18"
"Wateringen";"2023";"";"";""
"Waterland";"2023";"17609";"339";"51,99"
"Weerselo";"2023";"";"";""
"Weert";"2023";"50872";"488";"104,25"
"Weesp";"2023";"";"";""
"Wehl";"2023";"";"";""
"Werkendam";"2023";"";"";""
"Wervershoof";"2023";"";"";""
"West Betuwe";"2023";"52720";"244";"215,93"
"West Maas en Waal";"2023";"20065";"263";"76,19"
"Westerbork";"2023";"";"";""
"Westerhoven";"2023";"";"";""
"Wester-Koggenland";"2023";"";"";""
"Westerkwartier";"2023";"64946";"179";"362,63"
"Westerschouwen";"2023";"";"";""
"Westerveld";"2023";"19860";"71";"278,65"
"Westervoort";"2023";"15114";"2155";"7,01"
"Westerwolde";"2023";"26537";"96";"275,77"
"Westkapelle";"2023";"";"";""
"Westland";"2023";"114887";"1423";"80,76"
"Weststellingwerf";"2023";"26467";"120";"220,20"
"Westvoorne";"2023";"";"";""
"Wierden";"2023";"24862";"263";"94,60"
"Wieringen";"2023";"";"";""
"Wieringermeer";"2023";"";"";""
"Wijchen";"2023";"41537";"629";"66,04"
"Wijdemeren";"2023";"24659";"519";"47,54"
"Wijhe";"2023";"";"";""
"De Wijk";"2023";"";"";""
"Wijk bij Duurstede";"2023";"23995";"504";"47,58"
"Willemstad";"2023";"";"";""
"Winschoten";"2023";"";"";""
"Winsum";"2023";"";"";""
"Winterswijk";"2023";"29253";"212";"138,13"
"Wisch";"2023";"";"";""
"Wittem";"2023";"";"";""
"Woensdrecht";"2023";"22191";"242";"91,66"
"Woerden";"2023";"53244";"601";"88,55"
"Wognum";"2023";"";"";""
"De Wolden";"2023";"24602";"110";"224,39"
"Wormerland";"2023";"16612";"431";"38,51"
"Woudenberg";"2023";"14358";"393";"36,52"
"Woudrichem";"2023";"";"";""
"Wouw";"2023";"";"";""
"Wûnseradiel";"2023";"";"";""
"Wymbritseradiel";"2023";"";"";""
"Zaanstad";"2023";"159618";"2165";"73,74"
"Zaltbommel";"2023";"30349";"386";"78,65"
"Zandvoort";"2023";"17542";"547";"32,08"
"Zederik";"2023";"";"";""
"Zeevang";"2023";"";"";""
"Zeewolde";"2023";"23692";"96";"247,11"
"Zeist";"2023";"66629";"1374";"48,50"
"Zelhem";"2023";"";"";""
"Zevenaar";"2023";"45042";"486";"92,62"
"Zevenbergen";"2023";"";"";""
"Zevenhuizen-Moerkapelle";"2023";"";"";""
"Zierikzee";"2023";"";"";""
"Zijpe";"2023";"";"";""
"Zoetermeer";"2023";"126998";"3689";"34,43"
"Zoeterwoude";"2023";"9443";"446";"21,16"
"Zuidhorn";"2023";"";"";""
"Zuidlaren";"2023";"";"";""
"Zuidplas";"2023";"46981";"811";"57,96"
"Zuidwolde";"2023";"";"";""
"Zundert";"2023";"22518";"187";"120,59"
"Zutphen";"2023";"48510";"1186";"40,92"
"Zwartewaterland";"2023";"23368";"284";"82,36"
"Zwartsluis";"2023";"";"";""
"Zweeloo";"2023";"";"";""
"Zwijndrecht";"2023";"45018";"2217";"20,31"
"Zwolle";"2023";"132411";"1196";"110,67"
"Bron: CBS"
